Product Name,Price,Feature
realme 80 cm (32 inch) HD Ready LED Smart Android TV,"₹15,999","Netflix|Prime Video|Disney+Hotstar|YoutubeOperating System: AndroidHD Ready 1366 x 768 Pixels24 W Speaker Output60 Hz Refresh Rate3 x HDMI | 2 x USB1 Year Domestic Warranty, 2 Years on Panel"
Mi 4A PRO 80 cm (32 inch) HD Ready LED Smart Android TV,"₹15,999",Netflix|Prime Video|Disney+Hotstar|YoutubeOperating System: AndroidHD Ready 1366 x 768 Pixels20 W Speaker Output60 Hz Refresh Rate3 x HDMI | 2 x USB1 Year Warranty on Product and Additional 1 Year Warranty on Panel
LG 80 cm (32 inch) HD Ready LED Smart TV 2020 Edition,"₹16,999",Netflix|Prime Video|Disney+Hotstar|YoutubeOperating System: WebOSHD Ready 1366 x 768 Pixels10 W Speaker Output50 Hz Refresh Rate2 x HDMI | 1 x USBNA1 Year LG India Comprehensive Warranty and Additional 1 Year Warranty is Applicable on Panel/Module
Mi 4A Horizon Edition 80 cm (32 inch) HD Ready LED Smart Android TV,"₹16,999",Netflix|Prime Video|Disney+Hotstar|YoutubeOperating System: AndroidHD Ready 1366 x 768 Pixels20 W Speaker Output60 Hz Refresh Rate3 x HDMI | 2 x USB1 Year on Product and 2 Years for Panel
SAMSUNG 80 cm (32 inch) HD Ready LED Smart TV 2020 Edition,"₹17,499",Netflix|Disney+Hotstar|YoutubeOperating System: TizenHD Ready 1366 x 768 Pixels20 W Speaker Output60 Hz Refresh Rate2 x HDMI | 1 x USB1 Year Comprehensive Warranty on Product and 1 Year Additional warranty on Panel
Mi 4A PRO 80 cm (32 inch) HD Ready LED Smart Android TV,"₹14,999",Netflix|Prime Video|Disney+Hotstar|YoutubeOperating System: AndroidHD Ready 1366 x 768 Pixels20 W Speaker Output60 Hz Refresh Rate3 x HDMI | 2 x USB1 Year Warranty on Product and Additional 1 Year Warranty on Panel
iFFALCON by TCL 79.97 cm (32 inch) HD Ready LED Smart Android TV with Google assistant tv HDR 10 and D...,"₹13,499",Netflix|Disney+Hotstar|YoutubeOperating System: AndroidHD Ready 1366 x 768 Pixels16 W Speaker Output60 Hz Refresh Rate2 x HDMI | 1 x USBA+ Grade Panel1 Year Domestic Warranty
Nokia 80 cm (32 inch) HD Ready LED Smart Android TV with Sound by Onkyo,"₹15,499",Netflix|Prime Video|Disney+Hotstar|YoutubeOperating System: AndroidHD Ready 1366 x 768 Pixels39 W Speaker Output60 Hz Refresh Rate3 x HDMI | 2 x USBVA Panel1 Year Warranty on Product
Thomson 9A Series 80 cm (32 inch) HD Ready LED Smart Android TV,"₹13,999",Prime Video|Disney+Hotstar|YoutubeOperating System: AndroidHD Ready 1366 x 768 Pixels24 W Speaker Output60 Hz Refresh Rate3 x HDMI | 2 x USBA+ Panel1 Year Warranty on Product
SAMSUNG 80 cm (32 inch) HD Ready LED TV,"₹15,499",HD Ready 1366 x 768 Pixels20 W Speaker Output60 Hz Refresh Rate2 x HDMI | 1 x USB1 Year Comprehensive Warranty and 1 Year Additional on Panel
SAMSUNG 80 cm (32 inch) HD Ready LED Smart TV 2020 Edition with Voice Search,"₹18,499",Netflix|Disney+Hotstar|YoutubeOperating System: TizenHD Ready 1366 x 768 Pixels20 W Speaker Output60 Hz Refresh Rate2 x HDMI | 1 x USB1 Year Comprehensive Warranty on Product and 1 Year Additional warranty on Panel
KODAK 7XPRO Series 80 cm (32 inch) HD Ready LED Smart Android TV,"₹13,999",Prime Video|Disney+Hotstar|YoutubeOperating System: AndroidHD Ready 1366 x 768 Pixels24 W Speaker Output60 Hz Refresh Rate3 x HDMI | 2 x USBA+1 Year Warranty
MOTOROLA ZX2 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Atmos and Dolby Vision,"₹19,999",Netflix|Prime Video|Disney+Hotstar|YoutubeOperating System: AndroidHD Ready 1366 x 768 Pixels40 W Speaker Output60 Hz Refresh Rate2 x HDMI | 2 x USBVA Panel1 Year Warranty on Product
MOTOROLA ZX 80.5 cm (32 inch) HD Ready LED Smart Android TV with Wireless Gamepad,"₹15,999",Netflix|Prime Video|Disney+Hotstar|YoutubeOperating System: AndroidHD Ready 1366 x 768 Pixels20 W Speaker Output60 Hz Refresh Rate2 x HDMI | 2 x USBVA Type1 Year Warranty on Product
OnePlus Y Series 80 cm (32 inch) HD Ready LED Smart Android TV,"₹17,999",Netflix|Prime Video|Disney+Hotstar|YoutubeOperating System: AndroidHD Ready 1366 x 768 Pixels20 W Speaker Output60 Hz Refresh Rate2 x HDMI | 2 x USBLED1 Year Comprehensive Warranty and Additional 1 Year on Panel Provided By the Manufacturer From Date of Purchase
Coocaa 81 cm (32 inch) HD Ready LED Smart TV with YouTube,"₹12,499",YoutubeOperating System: LinuxHD Ready 1366 x 768 Pixels20 W Speaker Output60 Hz Refresh Rate3 x HDMI | 1 x USBA+Grade panel1 Year Domestic Warranty
Infinix X1 80 cm (32 inch) HD Ready LED Smart Android TV with Eye Care Technology,"₹13,999",Netflix|Prime Video|Disney+Hotstar|YoutubeOperating System: AndroidHD Ready 1366 x 768 Pixels20 W Speaker Output60 Hz Refresh Rate2 x HDMI | 1 x USB1 Year Domestic Warranty
Thomson R9 80 cm (32 inch) HD Ready LED TV,"₹11,999",HD Ready 1366 x 768 Pixels20 W Speaker Output60 Hz Refresh Rate2 x HDMI | 2 x USBThin Bezel Design1 Year Warranty
TOSHIBA L50 Series 80 cm (32 inch) HD Ready LED Smart TV with ADS Panel,"₹15,999",Netflix|Prime Video|YoutubeOperating System: VIDAAHD Ready 1366 x 768 Pixels20 W Speaker Output60 Hz Refresh Rate2 x HDMI | 2 x USBYupp TV1 Year Warranty
SONY BRAVIA 80 cm (32 inch) HD Ready LED Smart TV,"₹27,499",Netflix|Prime Video|YoutubeOperating System: Linux basedHD Ready 1366 x 768 Pixels20 W Speaker Output50 Hz Refresh Rate2 x HDMI | 2 x USBLED1 Year Manufacturer Warranty
Compaq ER Series 80 cm (32 inch) HD Ready LED Smart Android TV,"₹13,999",Netflix|Disney+Hotstar|YoutubeOperating System: AndroidHD Ready 1366 x 768 Pixels24 W Speaker Output60 Hz Refresh Rate3 x HDMI | 2 x USB1 Year Warranty on Product
Vu Premium 80 cm (32 inch) HD Ready LED Smart Android TV,"₹14,999",Netflix|Prime Video|Disney+Hotstar|YoutubeOperating System: AndroidHD Ready 1366 x 768 Pixels20 W Speaker Output60 Hz Refresh Rate2 x HDMI | 2 x USBA+ Grade High Bright HD Panel1 Year Vu Domestic Warranty
MarQ By Flipkart Innoview 80 cm (32 inch) HD Ready LED Smart Android TV,"₹13,499",Netflix|Disney+Hotstar|YoutubeOperating System: AndroidHD Ready 1366 x 768 Pixels20 W Speaker Output60 Hz Refresh Rate3 x HDMI | 2 x USB1 Year Warranty on Product
PHILIPS 6800 Series 80 cm (32 inch) HD Ready LED Smart TV,"₹17,999",Netflix|Prime Video|YoutubeOperating System: Linux basedHD Ready 1366 x 768 Pixels12 W Speaker Output60 Hz Refresh Rate3 x HDMI | 2 x USB2 Years Warranty Provided By the Manufacturer Upon Date of Purchase
